date,location,product,price,quantity,sauce_count
2026-06-01,夜市,普通淀粉肠,5000,27,10
2026-06-01,路边,普通淀粉肠,5000,13,8
2026-06-02,夜市,普通淀粉肠,5000,25,8
2026-06-03,夜市,普通淀粉肠,5000,27,6
2026-06-04,夜市,普通淀粉肠,5000,29,5
2026-06-04,路边,普通淀粉肠,5000,12,3
2026-06-05,夜市,普通淀粉肠,5000,13,8
2026-06-05,路边,普通淀粉肠,5000,26,12
2026-06-06,夜市,普通淀粉肠,5000,51,26
2026-06-06,路边,普通淀粉肠,5000,24,
2026-06-07,夜市,普通淀粉肠,5000,, 
2026-06-08,夜市,普通淀粉肠,5000,20,3
2026-06-08,路边,普通淀粉肠,5000,26,7
2026-06-09,路边,普通淀粉肠,5000,13,9
2026-06-10,夜市,普通淀粉肠,5000,25,9
2026-06-11,夜市,普通淀粉肠,5000,30,4
2026-06-11,路边,普通淀粉肠,5000,6,
2026-06-12,路边,普通淀粉肠,5000,50,10
2026-06-13,夜市,普通淀粉肠,5000,47,10
2026-06-13,路边,普通淀粉肠,5000,23,
2026-06-14,夜市,普通淀粉肠,5000,,,
2026-06-15,夜市,普通淀粉肠,5000,26,13
2026-06-16,夜市,普通淀粉肠,5000,48,12
2026-06-17,夜市,普通淀粉肠,5000,37,31
2026-06-17,路边,普通淀粉肠,5000,11,9
2026-06-18,夜市,普通淀粉肠,5000,43,9
2026-06-18,路边,普通淀粉肠,5000,9,3
2026-06-19,夜市,普通淀粉肠,5000,7,2
2026-06-19,路边,普通淀粉肠,5000,30,7
2026-06-20,夜市,普通淀粉肠,5000,66,31
2026-06-20,路边,普通淀粉肠,5000,30,6
2026-06-21,路边,普通淀粉肠,5000,60,15
2026-06-22,夜市,普通淀粉肠,5000,45,6
2026-06-22,路边,普通淀粉肠,5000,16,4
2026-06-23,夜市,普通淀粉肠,5000,20,6
2026-06-23,路边,普通淀粉肠,5000,40,7
2026-06-24,夜市,普通淀粉肠,5000,59,41
2026-06-25,夜市,普通淀粉肠,5000,36,6
2026-06-25,路边,普通淀粉肠,5000,79,15
2026-06-26,路边,普通淀粉肠,5000,76,38
2026-06-27,夜市,普通淀粉肠,5000,67,38
2026-06-27,路边,普通淀粉肠,5000,40,
2026-06-28,夜市,普通淀粉肠,5000,53,15
2026-06-28,路边,普通淀粉肠,5000,52,
2026-06-29,夜市,普通淀粉肠,5000,70,28
2026-06-29,路边,普通淀粉肠,5000,39,5
2026-06-30,夜市,普通淀粉肠,5000,58,5
2026-07-01,夜市,普通淀粉肠,5000,72,13
2026-07-02,夜市,普通淀粉肠,5000,65,23
2026-07-02,路边,普通淀粉肠,5000,16,8
2026-07-03,夜市,普通淀粉肠,5000,97,24
2026-07-04,夜市,普通淀粉肠,5000,145,14
2026-07-04,路边,普通淀粉肠,5000,35,6
2026-07-05,夜市,普通淀粉肠,5000,134,3
2026-07-06,夜市,普通淀粉肠,5000,58,14
2026-07-07,夜市,普通淀粉肠,5000,95,12
2026-07-08,夜市,Sosis 4 Sisi,8000,30,
2026-07-08,路边,普通淀粉肠,5000,36,5
2026-07-09,夜市,Sosis 4 Sisi,8000,46,
2026-07-10,夜市,Sosis 4 Sisi,8000,49,
2026-07-10,路边,普通淀粉肠,5000,46,7
2026-07-11,夜市,Sosis 4 Sisi,8000,75,
2026-07-11,路边,普通淀粉肠,5000,67,8
2026-07-12,夜市,Sosis 4 Sisi,8000,87,
2026-07-12,路边,普通淀粉肠,5000,36,8
2026-07-13,夜市,Sosis 4 Sisi,8000,22,
2026-07-13,路边,普通淀粉肠,5000,30,9
